Gender,Age,CreditScore,MonthlyIncome,Country,RFM_Score,Clusters,CustomerID,FullName
0,46,712,6632,5,1.28,"High Income, Low Spending Score",1124,Robert Jones
1,33,774,3331,0,3.85,"Average Income, High Spending Score",1125,David Mathews
0,66,697,7996,1,1.28,"High Income, High Spending Score",1126,Patricia Carrillo
1,25,715,7772,8,1.67,"High Income, Low Spending Score",1127,Manuel Mills
1,44,759,4749,4,3.6,"Average Income, High Spending Score",1128,Carol Curry
1,63,711,4516,2,3.61,"Lower Income, Low Spending Score",1129,Suzanne Burnett
1,43,769,3814,3,1.28,"Lower Income, Low Spending Score",1130,Kathryn Flores
0,18,727,5345,1,1.28,"High Income, Low Spending Score",1131,Cassandra Mccormick
0,69,624,5719,0,4.44,"High Income, High Spending Score",1132,Aaron Reynolds
0,68,733,4210,1,1.28,"Lower Income, Low Spending Score",1133,Richard Hahn
0,38,649,7358,6,1.83,"High Income, High Spending Score",1134,Alejandra Weaver
1,18,775,6613,6,1.79,"High Income, Low Spending Score",1135,Brandy Russell
1,39,727,4079,4,3.84,"Average Income, High Spending Score",1136,David Cook
1,36,758,6694,1,3.61,"Average Income, High Spending Score",1137,Yesenia Roberts
1,70,690,7662,5,1.28,"High Income, High Spending Score",1138,Dorothy Hutchinson
0,37,621,5935,5,1.28,"High Income, High Spending Score",1139,Audrey Harris
0,22,606,7461,6,1.28,"High Income, High Spending Score",1140,Samantha Greene
1,61,660,5598,0,1.28,"Lower Income, Low Spending Score",1141,Stephen Smith
1,65,620,4842,7,3.65,"High Income, High Spending Score",1142,Beth Brown
1,45,710,4729,0,3.54,"Average Income, High Spending Score",1143,Curtis Powell
1,20,643,7415,7,1.28,"High Income, Low Spending Score",1144,Alexander Lara
1,58,747,4312,3,1.28,"Lower Income, Low Spending Score",1145,Christopher Robles
0,19,738,4850,2,1.28,"High Income, Low Spending Score",1146,Joseph Thomas
0,27,672,5140,5,3.73,"Average Income, High Spending Score",1147,Casey Carlson
0,45,620,3088,3,1.28,"Lower Income, Low Spending Score",1148,Phillip Hoover
1,26,769,6943,4,3.62,"Average Income, High Spending Score",1149,Ryan Ballard
0,21,610,3478,8,3.56,"High Income, High Spending Score",1150,Scott Hull
1,68,643,5657,5,1.29,"Lower Income, Low Spending Score",1151,Steve Wallace
0,25,762,4228,8,1.29,"High Income, Low Spending Score",1153,Jason Becker
0,72,615,3351,2,1.29,"Lower Income, Low Spending Score",1154,Theresa Hardy
1,24,630,7703,0,1.29,"Average Income, High Spending Score",1155,John Wright
1,38,724,4368,0,1.29,"Lower Income, Low Spending Score",1156,Michelle Holland
0,54,604,3374,6,1.29,"Lower Income, Low Spending Score",1159,Carol Kim
0,53,654,3618,7,3.6,"High Income, High Spending Score",1160,Kathy Sutton
0,65,765,6708,1,1.29,"High Income, Low Spending Score",1161,Katherine Curtis
1,67,664,3084,3,3.71,"Lower Income, Low Spending Score",1162,Joshua Singh
0,64,758,7763,3,3.57,"High Income, High Spending Score",1163,Carlos Ali
0,25,691,7777,0,1.29,"Average Income, High Spending Score",1164,Jason Cross
0,28,746,6410,6,4.61,"Average Income, High Spending Score",1165,Kenneth Moody
0,55,738,6988,4,3.77,"High Income, High Spending Score",1166,Dawn Cordova
1,32,771,5124,0,1.29,"Lower Income, Low Spending Score",1167,Monique Ryan
1,42,727,5335,2,3.7,"Average Income, High Spending Score",1168,Brandon Shaw
1,69,726,4327,4,1.29,"Lower Income, Low Spending Score",1169,Peggy Nielsen
1,71,680,4795,2,3.69,"Lower Income, Low Spending Score",1170,Tonya Daniels
1,22,724,5582,8,4.68,"Average Income, High Spending Score",1171,Amanda Moreno
0,29,726,6502,8,1.29,"High Income, Low Spending Score",1172,Anthony Collins
1,27,646,4764,7,1.29,"High Income, Low Spending Score",1173,Joshua Mccann Jr.
0,29,677,5189,6,1.29,"High Income, Low Spending Score",1174,Joseph Morse II
0,65,618,5920,1,3.53,"High Income, High Spending Score",1175,Anthony Hernandez
0,68,695,6689,8,3.63,"High Income, High Spending Score",1176,April Snyder
0,53,732,5438,7,1.29,"High Income, Low Spending Score",1177,Jacqueline Maldonado
1,53,701,5971,2,1.29,"Lower Income, Low Spending Score",1179,Teresa Galvan
0,23,769,7793,8,4.69,"High Income, Low Spending Score",1180,Edward Raymond
1,38,761,7393,3,1.3,"High Income, Low Spending Score",1181,Laura Huerta
0,71,652,7642,0,3.64,"High Income, High Spending Score",1182,Austin Whitehead MD
0,62,707,7163,2,1.3,"High Income, High Spending Score",1183,Megan Jenkins
0,57,722,5117,8,4.5,"High Income, High Spending Score",1184,Tony Patel MD
1,72,730,4621,5,3.67,"Lower Income, Low Spending Score",1186,Natalie King
1,31,742,6721,7,3.55,"Average Income, High Spending Score",1188,Anthony Vasquez
0,26,712,6298,2,3.64,"Average Income, High Spending Score",1189,Michele Washington
1,29,749,6575,2,1.3,"Average Income, High Spending Score",1190,Kayla Gonzalez
0,30,734,6981,7,1.3,"High Income, Low Spending Score",1191,Nathan Rodriguez
1,34,712,7874,4,1.3,"High Income, Low Spending Score",1192,Mark Obrien
0,65,715,4210,2,1.86,"Lower Income, Low Spending Score",1194,Melissa Harris
1,70,646,4490,2,1.3,"Lower Income, Low Spending Score",1195,Michael Phillips
0,55,723,5866,6,1.3,"High Income, Low Spending Score",1196,Melissa Black
1,41,761,5687,5,3.87,"Average Income, High Spending Score",1197,Sherri Hall
1,43,760,4721,3,4.67,"Average Income, High Spending Score",1198,Dylan Rivera
0,68,678,7470,8,1.3,"High Income, High Spending Score",1199,Shawn Brown
1,25,775,4294,2,1.3,"Lower Income, Low Spending Score",1200,Christopher Saunders
0,28,664,5806,0,1.3,"Lower Income, Low Spending Score",1201,Emily Hardin
1,51,688,4983,0,1.9,"Lower Income, Low Spending Score",1202,Wesley Hall
0,67,673,7209,1,3.59,"High Income, High Spending Score",1203,Brian Gray
1,42,718,5463,1,1.79,"Lower Income, Low Spending Score",1204,Billy Houston
1,63,760,6492,6,4.66,"Average Income, High Spending Score",1205,Catherine Blevins
1,32,679,3346,4,3.6,"Average Income, High Spending Score",1206,Joseph Fuentes
1,58,688,6283,5,1.3,"Lower Income, Low Spending Score",1207,Christine Mason
1,40,732,7810,2,3.68,"Average Income, High Spending Score",1209,Eddie Dixon DDS
1,36,725,4004,6,3.76,"Average Income, High Spending Score",1210,Jeffrey Scott
1,19,674,3617,6,4.67,"Average Income, High Spending Score",1211,Anna Dixon
1,38,778,3497,2,1.3,"Lower Income, Low Spending Score",1212,Trevor Powell
1,44,680,7993,6,1.3,"High Income, Low Spending Score",1213,Jacob Keller
1,26,694,7155,3,1.3,"Average Income, High Spending Score",1214,Sydney Thomas
1,39,776,3866,5,1.97,"High Income, Low Spending Score",1215,Kimberly Thompson
1,24,736,5934,8,3.86,"Average Income, High Spending Score",1217,Lisa Espinoza
1,44,631,4588,7,1.3,"Lower Income, Low Spending Score",1218,Jeremy Pena
1,44,600,7517,8,3.77,"High Income, High Spending Score",1219,Thomas Wright
0,72,665,5272,8,3.72,"High Income, High Spending Score",1220,Leah Orr
1,20,724,4879,1,3.68,"Average Income, High Spending Score",1221,Lindsay Wong
0,69,722,6074,6,1.86,"High Income, Low Spending Score",1222,Tammy Miller
0,38,687,5766,1,3.88,"Average Income, High Spending Score",1223,Rodney Tyler
1,23,766,5373,7,1.31,"High Income, Low Spending Score",1224,Steven Griffin
0,25,751,6149,8,1.31,"High Income, Low Spending Score",1225,Sarah Aguirre
0,46,688,4552,1,1.31,"Lower Income, Low Spending Score",1226,Valerie Johnson
1,39,759,4072,7,3.71,"High Income, Low Spending Score",1227,Jessica Garcia
1,59,692,4817,4,1.72,"Lower Income, Low Spending Score",1228,Rachel Munoz
0,21,634,7892,3,3.75,"Average Income, High Spending Score",1229,Lindsey Hughes
1,20,715,6745,7,1.31,"High Income, Low Spending Score",1232,Laura Fisher
0,65,715,3820,6,1.31,"High Income, Low Spending Score",1233,Madison Meyer
0,49,699,5063,3,1.31,"Lower Income, Low Spending Score",1234,Stacey Ramirez
1,41,699,3301,3,1.31,"Lower Income, Low Spending Score",1235,Erica Melton
0,38,607,7052,1,1.31,"High Income, High Spending Score",1236,Joseph Howell
0,66,685,6390,5,1.31,"High Income, High Spending Score",1237,Daniel Meyer
0,52,757,3189,2,3.64,"Lower Income, Low Spending Score",1238,Hannah Cervantes
0,43,738,7723,4,1.31,"High Income, Low Spending Score",1239,Samuel Mcbride
0,61,735,6624,8,4.62,"High Income, High Spending Score",1240,Casey Schroeder
0,46,762,6507,0,1.84,"High Income, Low Spending Score",1241,Veronica Sweeney
0,23,716,7949,6,1.31,"High Income, Low Spending Score",1242,Joshua King
0,69,698,7020,7,3.54,"High Income, High Spending Score",1243,Lindsay Miller
0,43,667,6363,0,1.31,"Lower Income, Low Spending Score",1244,Jacqueline Stephens
0,55,642,6044,4,1.31,"High Income, High Spending Score",1245,Leslie Brooks MD
1,20,755,4777,1,3.59,"Average Income, High Spending Score",1246,Angela Walker
0,33,712,7230,6,1.95,"High Income, Low Spending Score",1247,Elizabeth Nichols
0,60,696,3053,4,1.31,"Lower Income, Low Spending Score",1248,Angela Aguilar
1,66,707,6741,1,1.31,"Lower Income, Low Spending Score",1249,Haley Henry
0,66,742,4310,6,1.32,"High Income, Low Spending Score",1250,Elizabeth Chambers
1,61,751,7194,7,1.32,"High Income, Low Spending Score",1251,Rachael Hawkins
1,44,608,3897,1,1.32,"Lower Income, Low Spending Score",1252,Bernard King
1,35,610,6169,4,1.98,"Average Income, High Spending Score",1253,Michelle Friedman
0,62,619,3363,6,1.32,"Lower Income, Low Spending Score",1254,Mitchell Ortiz
0,53,630,4914,5,3.75,"High Income, High Spending Score",1255,Jacob Hall MD
0,27,755,6736,7,1.32,"High Income, Low Spending Score",1256,Raymond Krause
1,27,662,7215,3,4.64,"Average Income, High Spending Score",1257,Jessica Smith
0,24,711,4246,6,1.32,"High Income, Low Spending Score",1258,Andrea Herrera
1,47,726,5998,0,1.32,"Lower Income, Low Spending Score",1260,Joseph Good
0,57,632,5969,4,3.7,"High Income, High Spending Score",1261,Timothy Rosario
0,41,640,4379,2,1.32,"Lower Income, Low Spending Score",1262,Margaret Romero
0,57,739,6939,0,1.32,"High Income, Low Spending Score",1263,Katherine Sanchez
1,37,693,4785,0,1.32,"Lower Income, Low Spending Score",1264,Briana Marshall
1,23,654,6761,1,1.32,"Average Income, High Spending Score",1265,Jenna Adams
0,69,612,7061,2,1.91,"High Income, High Spending Score",1266,Eric Cook
1,64,655,4416,5,1.32,"Lower Income, Low Spending Score",1267,Gregory Briggs
1,27,606,4582,1,1.32,"Lower Income, Low Spending Score",1269,Lori Smith
0,53,655,5238,4,1.32,"High Income, High Spending Score",1270,Paul Griffin DDS
0,29,720,7476,2,3.85,"Average Income, High Spending Score",1271,Benjamin Vang
0,27,655,4736,5,1.33,"High Income, Low Spending Score",1272,Jose Wiley
0,67,710,6854,5,1.33,"High Income, High Spending Score",1273,Patricia James
0,18,751,6165,4,4.69,"Average Income, High Spending Score",1274,Stephen King
1,24,687,7418,5,1.66,"Average Income, High Spending Score",1275,Lisa Calhoun
0,55,612,3074,3,3.57,"Lower Income, Low Spending Score",1276,Judy Ellis
1,68,689,3551,1,1.33,"Lower Income, Low Spending Score",1277,Jessica Ingram
0,19,696,3913,0,3.88,"Average Income, High Spending Score",1278,Austin Spencer
1,66,727,7823,2,3.85,"Average Income, High Spending Score",1279,Andrew Santos
1,65,738,4740,1,3.65,"Lower Income, Low Spending Score",1280,Danielle Smith
0,47,720,7789,0,1.33,"High Income, High Spending Score",1282,Kayla Williams
0,27,677,6300,1,1.33,"Average Income, High Spending Score",1283,Anthony Dominguez
1,47,603,6578,5,3.6,"High Income, High Spending Score",1284,Patricia Gilmore
0,50,624,6422,2,3.77,"High Income, High Spending Score",1286,Bradley Burke
0,49,612,7725,1,1.33,"High Income, High Spending Score",1287,Thomas Hines
1,31,608,5451,0,3.73,"Average Income, High Spending Score",1288,Rita Davis
0,35,627,7763,3,1.33,"High Income, High Spending Score",1289,Joseph Morton
1,43,715,4222,8,3.54,"High Income, Low Spending Score",1290,William Torres
0,58,707,4422,7,1.33,"High Income, Low Spending Score",1291,Marcus Rodriguez
1,25,608,7887,0,3.58,"Average Income, High Spending Score",1292,Sierra Hernandez
0,64,657,3462,5,1.33,"Lower Income, Low Spending Score",1293,Michele Robertson
1,48,608,6204,7,1.33,"High Income, High Spending Score",1294,Maria Schwartz
1,33,764,7391,1,1.85,"Average Income, High Spending Score",1295,Thomas Mcgrath
1,26,703,4919,5,1.33,"High Income, Low Spending Score",1296,Christopher Mclean
0,18,774,3185,0,1.33,"Lower Income, Low Spending Score",1297,Melissa Houston
0,22,626,5429,3,1.33,"Lower Income, Low Spending Score",1298,Valerie Martinez
0,59,764,5906,0,3.56,"Average Income, High Spending Score",1299,Ronald Zamora
0,28,614,4826,1,1.33,"Lower Income, Low Spending Score",1300,Karen Wolf
0,44,759,7166,6,1.33,"High Income, Low Spending Score",1301,Mrs. Rhonda Arnold
1,56,635,5813,3,1.34,"Lower Income, Low Spending Score",1302,Yolanda Frank
1,43,731,7302,1,1.66,"Average Income, High Spending Score",1304,Joshua Williams
0,24,774,5124,3,1.34,"High Income, Low Spending Score",1305,Amy Duke
0,56,702,7778,8,1.34,"High Income, Low Spending Score",1306,Kevin Dudley
1,46,767,4721,6,1.34,"High Income, Low Spending Score",1307,Madison James MD
0,19,697,4604,1,3.57,"Average Income, High Spending Score",1309,Scott Juarez
1,34,723,3989,6,4.96,"Average Income, High Spending Score",1311,Stephen Chandler
0,21,697,5127,4,4.48,"Average Income, High Spending Score",1312,Mrs. Angela Kelley
0,54,700,3389,2,3.64,"Lower Income, Low Spending Score",1313,Meghan Brown
1,32,751,4897,1,1.34,"Lower Income, Low Spending Score",1314,Taylor Brown
0,30,677,7599,6,4.74,"High Income, High Spending Score",1316,Johnathan Spencer
0,59,610,6340,4,3.83,"High Income, High Spending Score",1317,John Gilmore
0,22,673,7643,1,1.34,"Average Income, High Spending Score",1318,Julie Clayton
0,55,772,4387,8,1.34,"High Income, Low Spending Score",1319,Taylor Keith MD
0,36,700,4538,7,3.68,"High Income, Low Spending Score",1320,Molly Brown
0,23,600,3272,2,3.77,"Average Income, High Spending Score",1321,Jaclyn Thompson
0,66,637,5126,7,4.59,"High Income, High Spending Score",1322,Sarah Gonzalez
1,64,640,7217,4,1.34,"High Income, High Spending Score",1323,James Sawyer
0,63,705,6055,0,4.54,"High Income, High Spending Score",1324,Lauren Valencia
1,66,712,3279,3,3.8,"Lower Income, Low Spending Score",1325,Aaron Lucas
1,60,661,6237,1,1.34,"Lower Income, Low Spending Score",1326,Amanda Lindsey
1,43,694,4749,5,3.61,"Average Income, High Spending Score",1327,David Duncan
0,62,649,6183,4,1.34,"High Income, High Spending Score",1328,Mario Smith
0,19,725,3825,5,1.34,"High Income, Low Spending Score",1329,Tina Cruz
1,60,690,3972,7,1.34,"Lower Income, Low Spending Score",1330,Andrew White
0,30,692,3329,0,3.67,"Average Income, High Spending Score",1331,Kevin Riley
1,18,705,5211,6,1.34,"High Income, Low Spending Score",1332,Ashley Torres
1,43,622,4981,1,3.7,"Average Income, High Spending Score",1333,Maureen Wright
0,21,662,4426,7,1.34,"High Income, Low Spending Score",1334,Jessica Lucas
1,44,629,3990,3,4.46,"Average Income, High Spending Score",1335,Justin Williamson
1,22,627,7692,8,1.35,"High Income, Low Spending Score",1336,Mark Fitzpatrick
1,39,701,5683,5,1.83,"High Income, Low Spending Score",1337,Frederick Crawford
1,69,620,4105,5,1.35,"Lower Income, Low Spending Score",1338,Victoria Schmidt
1,59,672,7944,4,3.76,"High Income, High Spending Score",1339,Jasmine Chavez
0,49,600,4589,2,3.85,"High Income, High Spending Score",1340,Wendy Pham
1,21,668,6666,6,1.35,"High Income, Low Spending Score",1341,Amy King
0,66,694,6589,8,3.6,"High Income, High Spending Score",1342,Jennifer Hernandez
1,69,717,5644,8,4.65,"High Income, High Spending Score",1343,Leslie Harris
0,24,659,6718,1,1.35,"Average Income, High Spending Score",1344,Amy Mcpherson
0,23,604,4169,4,1.35,"Lower Income, Low Spending Score",1345,Jason Adkins
1,35,714,5146,1,4.63,"Average Income, High Spending Score",1347,Michelle Wright
0,45,656,7408,1,1.35,"High Income, High Spending Score",1348,Erica Castillo
0,55,752,6916,6,1.35,"High Income, Low Spending Score",1349,Luke Davis
0,49,648,5854,4,1.35,"High Income, High Spending Score",1350,Shelly Rivas
0,37,624,6521,3,1.35,"High Income, High Spending Score",1352,Damon Butler
0,59,644,3332,2,1.82,"Lower Income, Low Spending Score",1354,Dean Taylor
0,45,711,4678,6,1.35,"High Income, Low Spending Score",1355,Denise Anderson
0,42,688,4365,1,3.61,"Average Income, High Spending Score",1356,Denise Nguyen
0,46,643,3074,3,3.69,"Lower Income, Low Spending Score",1358,Jeffrey Simmons
0,60,685,6092,4,1.35,"High Income, High Spending Score",1360,David Williams
0,53,702,4909,8,4.6,"High Income, High Spending Score",1361,Cynthia Morales
0,49,639,7072,0,3.8,"High Income, High Spending Score",1362,Mary Gibbs
0,22,658,3642,6,3.7,"Average Income, High Spending Score",1363,Jacqueline Long
1,37,633,6144,4,3.63,"Average Income, High Spending Score",1364,Melanie Acosta
0,42,603,7633,5,3.55,"High Income, High Spending Score",1365,Tina Estrada
0,39,620,5930,7,3.74,"High Income, High Spending Score",1366,David Davis
0,39,704,7465,7,1.35,"High Income, Low Spending Score",1367,Joseph Bell
0,31,747,5787,3,1.35,"High Income, Low Spending Score",1368,Thomas Wagner
0,35,637,5270,5,4.64,"High Income, High Spending Score",1369,Nicole May
0,58,769,3238,3,1.35,"Lower Income, Low Spending Score",1370,Cassandra Whitney
0,71,748,4686,6,1.35,"High Income, Low Spending Score",1371,Anthony Diaz
0,43,740,7839,1,1.36,"High Income, Low Spending Score",1372,Ashley White
1,34,746,5770,0,1.36,"Lower Income, Low Spending Score",1373,Christopher Franco
0,29,752,3147,4,1.36,"High Income, Low Spending Score",1374,Brian Reyes
0,41,645,5641,7,1.36,"High Income, Low Spending Score",1375,Sarah Huang
1,66,639,6126,2,1.65,"Lower Income, Low Spending Score",1376,James Little
0,71,639,7151,4,1.36,"High Income, High Spending Score",1378,Brett Todd
1,66,740,6364,6,4.73,"Average Income, High Spending Score",1379,Cody Alexander
0,20,713,6046,0,1.36,"Average Income, High Spending Score",1380,Eric Williamson
1,40,769,3766,4,3.79,"Average Income, High Spending Score",1381,Randy Brock
1,44,687,6124,6,3.8,"Average Income, High Spending Score",1382,Brenda Harris
1,36,727,3778,5,3.71,"Average Income, High Spending Score",1383,Christopher Knight
0,54,635,6975,2,3.6,"High Income, High Spending Score",1384,Denise Murphy
1,51,688,7278,0,1.36,"Lower Income, Low Spending Score",1385,Sarah Weaver
0,50,778,5251,6,1.36,"High Income, Low Spending Score",1387,Robin Woods
1,19,637,4296,5,1.36,"Lower Income, Low Spending Score",1388,Matthew Smith
